geo_lat,geo_lng
52.385441,4.875742
52.38533,4.875792
52.385544,4.875967
52.385574,4.875111
52.386684,4.875122
52.385597,4.875795
52.385567,4.875667
52.378025,4.878418
52.387074,4.878121
52.38549,4.875645
52.385529,4.875591
52.385796,4.875615
52.385555,4.875556
52.496269,4.961341
52.494663,4.96621
52.493973,4.969638
52.385586,4.875538
52.496281,4.961274
52.42152,4.947167
52.382111,4.902914
52.366383,4.882836
52.374432,4.873785
52.494396,4.95307
52.496346,4.960723
52.385365,4.875724
52.384674,4.883609
52.49118,4.956878
52.496426,4.960879
52.496258,4.961078
52.496323,4.961337
52.383038,4.877264
52.385616,4.875894
52.385212,4.876504
52.386738,4.874947
52.385494,4.875588
52.385551,4.875572
52.385555,4.875572
52.380413,4.896083
52.38554,4.875711
52.385708,4.8753
52.385551,4.87557
52.35096,4.910479
52.48296,4.57599
52.354549,4.887823
52.375309,4.908746
52.386017,4.874541
52.38615,4.871595
52.38612,4.871525
52.3862,4.872091
52.384533,4.874843
52.38575,4.877746
52.384041,4.87806
52.385582,4.875646
52.387329,4.868332
52.385609,4.875495
52.469097,4.805374
52.385609,4.875531
52.385555,4.875522
52.389053,4.87388
52.402649,4.839602
52.386139,4.871462
52.384056,4.877065
52.384056,4.877065
52.369305,4.875816
52.369305,4.871678
52.369125,4.871629
52.385483,4.875787
52.382591,4.87515
52.393623,4.887733
52.385506,4.875767
52.385357,4.8758
52.387932,4.638142
52.387913,4.638117
52.385525,4.875672
